player_elo,opponent_elo,win,expected_prob,elo_delta
1335.0,1067.0,1,0.956,0.656
1255.0,982.0,1,0.959,0.621
1255.0,1319.0,0,0.324,-4.855
1255.0,1065.0,1,0.899,1.513
1255.0,1402.0,0,0.155,-2.332
1255.0,1299.0,0,0.376,-5.64
1255.0,1270.0,1,0.457,8.146
1255.0,1476.0,0,0.073,-1.092
1255.0,996.0,1,0.952,0.724
1255.0,975.0,1,0.962,0.574
1255.0,1726.0,0,0.004,-0.066
1255.0,1359.0,1,0.232,11.521
1255.0,1164.0,1,0.74,3.895
1255.0,1575.0,0,0.025,-0.368
1255.0,1553.0,0,0.031,-0.47
1255.0,1517.0,1,0.047,14.3
1255.0,1429.0,0,0.119,-1.783
1255.0,1252.0,1,0.509,7.37
1255.0,1263.0,1,0.477,7.845
1255.0,1425.0,0,0.124,-1.857
1255.0,1219.0,1,0.602,5.968
1255.0,1138.0,1,0.794,3.095
1255.0,1148.0,1,0.774,3.388
1255.0,1136.0,1,0.797,3.039
1255.0,1041.0,1,0.922,1.177
1255.0,1177.0,1,0.711,4.342
1255.0,1161.0,1,0.747,3.796
1255.0,1032.0,1,0.929,1.069
1255.0,1035.0,1,0.926,1.104
1255.0,1445.0,0,0.101,-1.513
1255.0,1154.0,1,0.762,3.572
1255.0,719.0,1,0.998,0.031
1255.0,1293.0,0,0.392,-5.885
1255.0,1480.0,0,0.07,-1.046
1255.0,1242.0,1,0.537,6.94
1255.0,1094.0,1,0.865,2.032
1255.0,840.0,1,0.992,0.125
1255.0,1003.0,1,0.948,0.781
1255.0,1123.0,1,0.82,2.693
1209.0,1207.0,1,0.506,7.414
1209.0,1251.0,1,0.381,9.279
1209.0,1216.0,0,0.48,-7.198
1209.0,1293.0,0,0.275,-4.132
1209.0,1293.0,1,0.275,10.868
1209.0,1290.0,1,0.282,10.764
1209.0,1188.0,1,0.56,6.598
1209.0,1123.0,1,0.729,4.063
1209.0,1258.0,1,0.363,9.561
1209.0,1122.0,1,0.731,4.029
1209.0,978.0,1,0.935,0.981
1209.0,1194.0,0,0.543,-8.146
1209.0,1019.0,1,0.899,1.513
1209.0,694.0,1,0.997,0.04
1209.0,810.0,1,0.99,0.15
1209.0,823.0,1,0.988,0.174
1209.0,859.0,1,0.983,0.262
1220.0,1087.0,1,0.822,2.667
1220.0,1308.0,0,0.266,-3.995
1220.0,1177.0,0,0.621,-9.319
1371.0,1350.0,0,0.56,-8.402
1371.0,1245.0,1,0.81,2.849
1371.0,1106.0,1,0.955,0.678
1371.0,1497.0,0,0.19,-2.849
1371.0,1019.0,1,0.983,0.256
1371.0,1734.0,0,0.015,-0.226
1365.0,1222.0,1,0.838,2.424
1365.0,1105.0,1,0.952,0.716
1365.0,1140.0,1,0.93,1.046
1365.0,1194.0,1,0.877,1.838
1346.0,1240.0,1,0.772,3.418
1346.0,1317.0,1,0.583,6.259
1346.0,1278.0,1,0.686,4.705
1346.0,1736.0,0,0.011,-0.166
1346.0,1501.0,0,0.144,-2.156
1355.0,1322.0,0,0.594,-8.908
1355.0,1292.0,0,0.674,-10.107
1355.0,1296.0,1,0.664,5.046
1355.0,1245.0,1,0.78,3.298
1355.0,1161.0,1,0.903,1.452
1346.0,1800.0,0,0.005,-0.08
1346.0,1764.0,0,0.008,-0.121
1346.0,1384.0,1,0.392,9.115
1358.0,1599.0,0,0.059,-0.881
1358.0,1253.0,0,0.77,-11.551
1358.0,1220.0,0,0.83,-12.457
1358.0,1116.0,1,0.942,0.871
1358.0,906.0,1,0.995,0.082
1358.0,1315.0,0,0.621,-9.319
1358.0,1149.0,1,0.917,1.241
1358.0,1327.0,1,0.588,6.176
1358.0,1256.0,1,0.764,3.541
1358.0,1339.0,1,0.554,6.683
1358.0,1326.0,0,0.591,-8.866
1358.0,1388.0,1,0.415,8.782
1358.0,1342.0,1,0.546,6.811
1358.0,1575.0,0,0.076,-1.14
1358.0,1548.0,0,0.101,-1.513
1363.0,1284.0,1,0.713,4.306
1363.0,1049.0,1,0.974,0.393
1363.0,1222.0,0,0.835,-12.529
1363.0,1250.0,1,0.786,3.21
1353.0,1232.0,1,0.801,2.984
1353.0,1047.0,1,0.971,0.43
1353.0,1257.0,1,0.751,3.731
1353.0,1205.0,1,0.846,2.309
1353.0,1028.0,1,0.977,0.347
1337.0,1215.0,1,0.803,2.956
1337.0,1323.0,1,0.54,6.897
1337.0,1312.0,1,0.571,6.428
1344.0,1150.0,1,0.903,1.452
1344.0,1400.0,0,0.344,-5.163
1344.0,1062.0,1,0.963,0.562
1344.0,1133.0,1,0.919,1.215
1327.0,1736.0,0,0.009,-0.134
1327.0,1501.0,0,0.119,-1.783
1327.0,1338.0,1,0.468,7.974
1327.0,1559.0,1,0.065,14.029
1327.0,1608.0,0,0.038,-0.568
1327.0,1312.0,0,0.543,-8.146
1327.0,1331.0,0,0.488,-7.327
1327.0,1589.0,1,0.047,14.3
1333.0,1081.0,1,0.948,0.781
1333.0,1265.0,0,0.686,-10.295
1333.0,1255.0,0,0.711,-10.658
1333.0,1161.0,1,0.879,1.819
1333.0,1245.0,1,0.734,3.995
1333.0,1350.0,1,0.451,8.232
1297.0,1498.0,1,0.09,13.651
1297.0,1359.0,1,0.329,10.069
1297.0,1441.0,1,0.16,12.599
1313.0,1291.0,0,0.563,-8.445
1313.0,1262.0,0,0.643,-9.641
1313.0,745.0,1,0.999,0.022
1313.0,955.0,1,0.984,0.239
1313.0,1107.0,1,0.915,1.28
1313.0,1230.0,1,0.722,4.166
1313.0,1147.0,1,0.871,1.933
1313.0,680.0,1,0.999,0.01
1313.0,1370.0,0,0.342,-5.124
1298.0,1367.0,1,0.311,10.332
1298.0,1254.0,1,0.624,5.64
1298.0,1492.0,0,0.097,-1.452
1268.0,1599.0,0,0.022,-0.325
1268.0,1253.0,1,0.543,6.854
1268.0,1258.0,1,0.529,7.069
1268.0,906.0,1,0.985,0.229
1268.0,1116.0,1,0.852,2.221
1268.0,1220.0,1,0.635,5.479
1268.0,1192.0,1,0.706,4.413
1268.0,1542.0,0,0.041,-0.614
1268.0,1453.0,1,0.106,13.407
1268.0,1291.0,1,0.434,8.487
1268.0,1421.0,0,0.147,-2.199
1268.0,1256.0,0,0.534,-8.017
1268.0,1286.0,0,0.448,-6.726
1262.0,1243.0,0,0.554,-8.317
1262.0,1400.0,0,0.17,-2.543
1262.0,1343.0,0,0.282,-4.236
1262.0,1376.0,1,0.212,11.819
1262.0,1186.0,1,0.706,4.413
1262.0,1320.0,0,0.339,-5.085
1262.0,1312.0,1,0.36,9.601
1262.0,719.0,1,0.998,0.029
1262.0,727.0,1,0.998,0.032
1262.0,776.0,1,0.996,0.056
1262.0,705.0,1,0.998,0.025
1262.0,691.0,1,0.999,0.021
1262.0,763.0,1,0.997,0.048
1256.0,1276.0,1,0.443,8.36
1256.0,1191.0,1,0.679,4.818
1256.0,893.0,1,0.985,0.226
1256.0,1116.0,1,0.834,2.495
1256.0,1125.0,1,0.819,2.718
1256.0,1249.0,0,0.52,-7.802
1256.0,1111.0,1,0.841,2.378
1256.0,1188.0,1,0.686,4.705
1256.0,1304.0,0,0.365,-5.479
1256.0,1063.0,1,0.902,1.467
1256.0,1367.0,1,0.218,11.731
1256.0,1396.0,0,0.166,-2.495
1256.0,1340.0,0,0.275,-4.132
1256.0,1355.0,0,0.242,-3.635
1256.0,1297.0,0,0.384,-5.762
1256.0,1350.0,0,0.253,-3.796
1309.0,1229.0,1,0.715,4.271
1309.0,1355.0,1,0.371,9.441
1309.0,1204.0,1,0.77,3.449
1309.0,856.0,1,0.995,0.081
1309.0,1338.0,1,0.417,8.741
1309.0,1736.0,0,0.007,-0.109
1265.0,1296.0,1,0.412,8.824
1265.0,1320.0,1,0.347,9.798
1265.0,1338.0,0,0.301,-4.522
1265.0,1302.0,1,0.395,9.074
1265.0,1333.0,1,0.314,10.295
1265.0,1066.0,1,0.908,1.378
1265.0,1243.0,1,0.563,6.555
1265.0,1542.0,0,0.04,-0.594
1265.0,1165.0,1,0.76,3.604
1255.0,1207.0,0,0.635,-9.521
1255.0,1300.0,1,0.373,9.4
1255.0,1311.0,1,0.344,9.837
1237.0,1205.0,1,0.591,6.134
1237.0,1340.0,1,0.234,11.49
1237.0,874.0,1,0.985,0.226
1241.0,1336.0,0,0.251,-3.764
1241.0,1294.0,0,0.352,-5.28
1241.0,1457.0,0,0.077,-1.152
1241.0,1523.0,0,0.037,-0.562
1241.0,1283.0,1,0.381,9.279
1241.0,1038.0,1,0.912,1.321
1220.0,911.0,1,0.972,0.416
1220.0,983.0,1,0.939,0.92
1220.0,1319.0,1,0.242,11.365
1220.0,1268.0,0,0.365,-5.479
1220.0,1358.0,1,0.17,12.457
1220.0,1542.0,0,0.024,-0.359
1220.0,1042.0,1,0.886,1.712
1194.0,1019.0,1,0.882,1.765
1194.0,1209.0,1,0.457,8.146
1194.0,978.0,1,0.923,1.152
1194.0,859.0,1,0.979,0.31
1194.0,810.0,1,0.988,0.178
1194.0,823.0,1,0.986,0.207
1194.0,694.0,1,0.997,0.047
1194.0,1521.0,1,0.023,14.66
1194.0,1312.0,0,0.204,-3.067
1194.0,908.0,1,0.964,0.537
1194.0,1114.0,1,0.715,4.271
1194.0,1365.0,0,0.123,-1.838
1187.0,936.0,1,0.947,0.79
1187.0,1139.0,1,0.635,5.479
1187.0,845.0,1,0.981,0.287
1326.0,1230.0,1,0.751,3.731
1319.0,1116.0,1,0.912,1.321
1319.0,1220.0,0,0.758,-11.365
1319.0,1347.0,1,0.42,8.698
1319.0,1142.0,1,0.885,1.729
1319.0,1171.0,1,0.846,2.309
1319.0,1253.0,0,0.681,-10.22
1319.0,1255.0,1,0.676,4.855
1319.0,1170.0,1,0.848,2.287
1319.0,1278.0,1,0.616,5.762
1319.0,1129.0,1,0.899,1.513
1313.0,1222.0,1,0.74,3.895
1313.0,1170.0,1,0.838,2.424
1319.0,1513.0,0,0.097,-1.452
1319.0,1461.0,0,0.163,-2.448
1319.0,1501.0,0,0.11,-1.643
1314.0,1256.0,1,0.661,5.085
1314.0,1155.0,1,0.862,2.073
1314.0,1233.0,1,0.718,4.236
1314.0,1152.0,1,0.866,2.012
1314.0,1146.0,1,0.874,1.894
1314.0,1345.0,0,0.412,-6.176
1342.0,1065.0,0,0.96,-14.406
1342.0,1158.0,0,0.893,-13.39
1342.0,992.0,1,0.983,0.262
1348.0,1147.0,0,0.91,-13.651
1348.0,1323.0,1,0.571,6.428
1348.0,1167.0,1,0.889,1.66
1337.0,1154.0,1,0.892,1.626
1337.0,1230.0,1,0.774,3.388
1337.0,1304.0,1,0.594,6.092
1362.0,1188.0,0,0.881,-13.217
1362.0,1139.0,0,0.929,-13.931
1362.0,1135.0,0,0.932,-13.976
1362.0,1323.0,1,0.61,5.844
1362.0,1083.0,1,0.961,0.581
1362.0,1457.0,1,0.251,11.236
1362.0,1144.0,1,0.925,1.128
1362.0,1219.0,1,0.838,2.424
1362.0,1189.0,1,0.88,1.801
1362.0,1170.0,1,0.901,1.482
1362.0,1335.0,0,0.577,-8.656
1345.0,1334.0,1,0.532,7.026
1345.0,1114.0,1,0.935,0.981
1345.0,1229.0,1,0.792,3.124
1345.0,1062.0,1,0.963,0.556
1345.0,1218.0,1,0.812,2.822
1345.0,1192.0,1,0.853,2.199
1308.0,1062.0,1,0.944,0.834
1308.0,1400.0,0,0.257,-3.862
1308.0,1150.0,1,0.86,2.093
1308.0,1349.0,0,0.384,-5.762
1308.0,1309.0,1,0.497,7.543
1308.0,1285.0,1,0.566,6.513
1308.0,1398.0,1,0.262,11.072
1308.0,1363.0,0,0.347,-5.202
1308.0,1245.0,0,0.674,-10.107
1310.0,991.0,1,0.975,0.372
1310.0,1138.0,1,0.879,1.819
1310.0,1216.0,0,0.747,-11.204
1310.0,1736.0,0,0.007,-0.11
1310.0,1338.0,1,0.42,8.698
1310.0,1501.0,0,0.1,-1.498
1302.0,1265.0,0,0.605,-9.074
1302.0,1255.0,1,0.632,5.519
1302.0,1081.0,1,0.927,1.092
1302.0,1245.0,1,0.658,5.124
1302.0,1161.0,1,0.835,2.471
1302.0,1350.0,0,0.365,-5.479
1302.0,944.0,1,0.984,0.239
1302.0,1165.0,1,0.829,2.568
1302.0,912.0,1,0.989,0.166
1302.0,1018.0,1,0.963,0.549
1302.0,1017.0,1,0.964,0.543
1302.0,1221.0,1,0.718,4.236
1302.0,1219.0,0,0.722,-10.834
1302.0,1226.0,1,0.706,4.413
1302.0,1270.0,1,0.591,6.134
1310.0,1110.0,0,0.909,-13.636
1310.0,1130.0,1,0.888,1.677
1310.0,1219.0,1,0.74,3.895
1291.0,1313.0,1,0.437,8.445
1291.0,1179.0,1,0.784,3.239
1291.0,1475.0,0,0.107,-1.61
1291.0,1147.0,1,0.84,2.401
1291.0,1230.0,1,0.669,4.97
1291.0,1107.0,1,0.893,1.61
1347.0,1599.0,0,0.052,-0.781
1347.0,1258.0,0,0.736,-11.038
1347.0,1253.0,0,0.747,-11.204
1347.0,1319.0,0,0.58,-8.698
1347.0,1219.0,0,0.814,-12.204
1347.0,1251.0,1,0.751,3.731
1347.0,957.0,1,0.989,0.166
1347.0,986.0,1,0.985,0.231
1347.0,1265.0,0,0.72,-10.799
1347.0,1244.0,1,0.766,3.51
1347.0,1217.0,1,0.817,2.744
1355.0,1283.0,0,0.696,-10.442
1355.0,1019.0,1,0.98,0.307
1355.0,1197.0,1,0.86,2.093
1355.0,1297.0,1,0.661,5.085
1355.0,1294.0,0,0.669,-10.03
1355.0,1340.0,0,0.543,-8.146
1355.0,1383.0,1,0.42,8.698
1355.0,1396.0,0,0.384,-5.762
1355.0,1284.0,1,0.694,4.595
1355.0,937.0,1,0.992,0.121
1355.0,1049.0,1,0.971,0.43
1355.0,1170.0,1,0.894,1.593
1355.0,1250.0,1,0.77,3.449
1356.0,1231.0,1,0.808,2.875
1356.0,1214.0,0,0.837,-12.552
1356.0,1244.0,1,0.784,3.239
1356.0,1085.0,1,0.958,0.634
1356.0,1253.0,1,0.766,3.51
1356.0,1162.0,1,0.903,1.452
1315.0,1544.0,0,0.067,-1.002
1315.0,1438.0,0,0.195,-2.929
1315.0,1453.0,0,0.17,-2.543
1315.0,1713.0,0,0.01,-0.152
1315.0,1522.0,0,0.084,-1.267
1315.0,1649.0,0,0.021,-0.314
1379.0,937.0,1,0.994,0.092
1379.0,1168.0,0,0.919,-13.785
1379.0,1023.0,1,0.984,0.245
1379.0,1168.0,1,0.919,1.215
1379.0,1159.0,1,0.926,1.104
1379.0,1306.0,0,0.699,-10.478
1379.0,1230.0,0,0.848,-12.713
1379.0,1156.0,1,0.929,1.069
1379.0,1172.0,0,0.916,-13.733
1379.0,1205.0,1,0.881,1.783
1379.0,1057.0,1,0.976,0.359
1379.0,1640.0,0,0.047,-0.708
1379.0,1232.0,1,0.845,2.332
1379.0,1124.0,1,0.95,0.756
1379.0,1333.0,0,0.629,-9.441
1379.0,1219.0,1,0.863,2.052
1379.0,1341.0,0,0.608,-9.115
1379.0,1317.0,0,0.671,-10.069
1379.0,1110.0,1,0.957,0.648
1379.0,844.0,1,0.998,0.032
1379.0,741.0,1,0.999,0.01
1379.0,986.0,1,0.989,0.161
1378.0,968.0,1,0.991,0.133
1378.0,898.0,1,0.996,0.059
1378.0,824.0,1,0.998,0.025
1378.0,829.0,1,0.998,0.027
1378.0,957.0,1,0.992,0.117
1378.0,818.0,1,0.998,0.024
1378.0,982.0,1,0.99,0.155
1378.0,972.0,1,0.991,0.139
1378.0,754.0,1,0.999,0.011
1375.0,618.0,1,1.0,0.002
1375.0,961.0,1,0.992,0.127
1375.0,1052.0,1,0.976,0.355
1375.0,1125.0,1,0.947,0.799
1375.0,1019.0,1,0.984,0.245
1375.0,740.0,1,0.999,0.01
1375.0,666.0,1,1.0,0.004
1375.0,983.0,1,0.989,0.163
1375.0,670.0,1,1.0,0.004
1375.0,838.0,1,0.998,0.031
1375.0,742.0,1,0.999,0.01
1375.0,1011.0,1,0.985,0.224
1375.0,1120.0,1,0.95,0.756
1375.0,748.0,1,0.999,0.011
1375.0,686.0,1,1.0,0.005
1375.0,587.0,1,1.0,0.002
1375.0,893.0,1,0.996,0.058
1375.0,505.0,1,1.0,0.001
1375.0,829.0,1,0.998,0.028
1375.0,644.0,1,1.0,0.003
1375.0,883.0,1,0.997,0.052
1375.0,972.0,1,0.99,0.144
1375.0,914.0,1,0.995,0.074
1375.0,816.0,1,0.998,0.024
1374.0,978.0,1,0.99,0.155
1374.0,787.0,1,0.999,0.017
1374.0,941.0,1,0.993,0.102
1374.0,624.0,1,1.0,0.003
1374.0,862.0,1,0.997,0.041
1374.0,980.0,1,0.989,0.159
1374.0,746.0,1,0.999,0.011
1374.0,812.0,1,0.998,0.023
1298.0,1044.0,1,0.949,0.764
1298.0,1244.0,1,0.651,5.241
1298.0,1497.0,0,0.092,-1.378
1298.0,1153.0,1,0.841,2.378
1297.0,1220.0,1,0.708,4.378
1297.0,1296.0,1,0.503,7.457
1297.0,1017.0,1,0.962,0.574
1297.0,1307.0,0,0.471,-7.069
1297.0,1266.0,0,0.588,-8.824
1297.0,1291.0,1,0.517,7.241
1297.0,921.0,1,0.987,0.195
1297.0,1211.0,1,0.729,4.063
1297.0,1250.0,0,0.632,-9.481
1297.0,1355.0,0,0.339,-5.085
1297.0,1309.0,1,0.466,8.017
1297.0,1347.0,0,0.36,-5.399
1297.0,1062.0,1,0.937,0.94
1297.0,1542.0,0,0.056,-0.843
1294.0,1706.0,0,0.009,-0.13
1294.0,1244.0,1,0.64,5.399
1294.0,1386.0,1,0.257,11.138
1294.0,1382.0,0,0.266,-3.995
1294.0,1734.0,0,0.006,-0.094
1294.0,1273.0,0,0.56,-8.402
1294.0,1497.0,0,0.088,-1.321
1294.0,1019.0,1,0.96,0.607
1279.0,1353.0,1,0.299,10.515
1279.0,1313.0,1,0.403,8.949
1279.0,1849.0,0,0.001,-0.021
1279.0,1505.0,0,0.069,-1.035
1279.0,1429.0,0,0.151,-2.265
1279.0,1488.0,0,0.083,-1.241
1279.0,1690.0,0,0.009,-0.131
1269.0,1241.0,0,0.58,-8.698
1269.0,1241.0,1,0.58,6.302
1269.0,846.0,1,0.992,0.114
1269.0,1474.0,0,0.086,-1.294
1269.0,1404.0,1,0.174,12.383
1269.0,1283.0,1,0.46,8.103
1269.0,1285.0,0,0.454,-6.811
1258.0,1347.0,1,0.264,11.038
1258.0,1268.0,0,0.471,-7.069
1258.0,1315.0,0,0.342,-5.124
1258.0,872.0,1,0.988,0.174
1258.0,1507.0,0,0.054,-0.807
